logFC	logCPM	LR	PValue	FDR
AT3G63350	-1.70703696301391	1.57387184794167	26.629618582489	2.46436738882802e-07	0.00263292838445208
AT3G51680	-1.16819880449049	3.16406117918351	26.036296164397	3.35058633622251e-07	0.00263292838445208
AT3G14540	-1.58441388859465	1.93913272599105	25.7181008924217	3.95103830641247e-07	0.00263292838445208
AT2G41450	-1.396226092461	4.90296769121697	25.3988017195742	4.66207616593682e-07	0.00263292838445208
AT5G11140	-1.46618038294976	3.69845305744969	25.2585182839017	5.01376468075576e-07	0.00263292838445208
AT2G36950	-1.16825323036657	7.40129989215986	24.8679838159069	6.13936185144735e-07	0.00268668706889089
AT5G48110	-1.56132610789228	4.85509557321369	24.0550190309414	9.36219115337101e-07	0.00351175790162947
AT3G46613	-2.08649463814906	-1.26618433631238	23.5005385421748	1.24878806830309e-06	0.00409867853867928
AT3G02480	-1.34797558690157	0.940091510092643	22.2238370484787	2.42642590108572e-06	0.00707896276497864
AT2G20605	3.53342177239465	-3.85879355723449	20.825546946237	5.03074238400186e-06	0.00911015809320671
AT4G25410	-1.35376267060969	2.51853041675046	20.8209118958094	5.04293182467621e-06	0.00911015809320671
AT5G35550	3.35927805459728	-3.991551553853	20.6522617787296	5.50720910165709e-06	0.00911015809320671
AT1G58050	-2.13696582927884	-2.56874740221859	20.2965193081673	6.6321125024526e-06	0.0102434928221705
AT3G13280	-1.29032574172702	1.91575037359161	19.8089952110944	8.55789867196053e-06	0.0124835969683149
AT1G16400	1.3340523524314	1.94721153374402	19.3715630652373	1.07597386310966e-05	0.0141259228618352
AT3G24310	-1.38455534392746	2.95203349699279	19.2144093344249	1.16828211268045e-05	0.0144447664557542
AT4G21323	-1.15253519811645	2.27183373250957	19.0734618942298	1.25781835000609e-05	0.0144447664557542
AT3G17270	-3.65662218325142	-4.08404760305333	19.0621453091861	1.26529926679494e-05	0.0144447664557542
AT1G07657	-1.19593119554326	1.31580308307257	18.785904326006	1.46243991076425e-05	0.0153597138947747
AT1G23160	-1.44489025967419	2.45587701933544	18.5965921430284	1.61509010150546e-05	0.0157274025885037
AT1G77885	-1.05963632761214	5.45923968220648	18.594051015996	1.61724442963629e-05	0.0157274025885037
AT3G20840	-1.07796680882318	2.46017038307287	18.0129435409602	2.19408065669e-05	0.0195229971636759
AT1G27670	-1.07087292942906	2.62950889457737	17.9612233827763	2.25451134596825e-05	0.0195229971636759
AT1G04720	-2.78067073624594	-3.98507177919001	17.7983289256965	2.45598852375352e-05	0.0201521533338113
AT4G37840	-2.63187796275342	-3.62993184857281	17.6517013086707	2.65277876905667e-05	0.0211072764057942
AT5G20240	-1.3681116054228	6.51716066342025	17.3785911282303	3.06256239043944e-05	0.0231884832958429
AT5G51470	-1.05149552694967	2.35499240405256	17.0716391607457	3.59958569205167e-05	0.025904904370134
AT2G27120	-1.99997990354622	-1.34732719452055	17.0191148898907	3.70053986466754e-05	0.025904904370134
AT5G65165	-1.0998606824824	1.30901977253839	16.9573588445809	3.8228848261203e-05	0.025904904370134
AT1G44318	-1.21201454462804	2.13504759766013	16.9429165606581	3.85207823150119e-05	0.025904904370134
AT1G69530	1.30876846787712	5.81321518182002	16.8970138923794	3.94636163615553e-05	0.025904904370134
AT4G28420	-1.17153046083777	1.02810527674962	16.7876041614379	4.18055005725722e-05	0.0264954366661505
AT1G09110	-1.80600399916329	-2.33970052462435	16.4237731976749	5.06460463448968e-05	0.029551405308399
AT5G07480	-2.90584137927117	-2.7790748968228	16.1193794200168	5.94723417280198e-05	0.0329189458622196
AT1G65390	-1.06950287987094	8.01942431313111	16.0970219093883	6.01785962366812e-05	0.0329189458622196
AT5G45870	3.00029950690787	-4.01195886895713	16.0316590381722	6.22921070965214e-05	0.0333796705312931
AT2G47770	-1.36613671060922	1.28688098749283	15.9628189060617	6.45988399920609e-05	0.0339234348334309
AT1G20470	-1.19403348100523	0.645884718671611	15.8529068723037	6.8461291351056e-05	0.0352468260196996
AT1G73120	-1.86083324324604	3.58440476304197	15.7750259108543	7.13379811443e-05	0.0360215648251132
AT1G47130	-1.13414652051313	4.89155983782325	15.7344907503417	7.28830301302952e-05	0.0361073532477578
AT2G21820	-1.56121410767084	-0.767119830129529	15.5628754702742	7.98062902162811e-05	0.0388050696705351
AT2G23800	-1.13199082714197	3.59995235330077	15.5086199613534	8.21298736491059e-05	0.0392088016800832
AT4G18680	-2.13973732077022	-3.13520630312284	15.4380464708054	8.52544693784113e-05	0.0394420266908147
AT1G02205	-1.00580601962957	1.89300278470526	15.3280306888662	9.0365661106187e-05	0.0394420266908147
AT2G47780	-1.33560096763328	0.823090122217793	15.3205131427818	9.07259684933904e-05	0.0394420266908147
AT5G56325	-2.52037912967951	-3.70664020544197	15.3159559514643	9.09450928777141e-05	0.0394420266908147
AT2G24340	-2.35421591873715	-3.70832455155013	15.284022934255	9.24955481294081e-05	0.0394420266908147
AT5G66660	-1.1972332043008	0.417692907186238	15.2710403710272	9.31334750668588e-05	0.0394420266908147
AT3G27140	-2.67421958788354	-4.05801466206149	15.0915351749679	0.000102421532426253	0.0413735719525556
AT2G43610	-1.01352109990762	6.92068322994436	14.9962802163915	0.000107723307840678	0.0428130657679278
AT4G37800	1.13745797407698	5.28364141561705	14.9467353119271	0.000110589250019603	0.0428130657679278
AT1G78390	-1.69671006816933	-0.73311631183138	14.8149339262373	0.000118592648255597	0.0451287994963363
AT2G05520	1.02841787765423	9.99264182282353	14.6767306651675	0.000127612018758943	0.047622403438231
AT1G54950	1.68653978059063	-2.74273731884446	14.6382821102645	0.000130241866852803	0.047622403438231
AT5G47280	-1.86604936687609	-0.93193684366452	14.5884391539009	0.000133732472614969	0.0477672810490504
AT5G24210	1.63862628097204	6.15757832483521	14.5759420737099	0.000134622340618872	0.0477672810490504
AT1G74140	1.96475862700565	-3.11463827651491	14.4687866090089	0.000142501397082712	0.0492323576736944
