




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14861039 Released 2025-02-06
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (595)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of flavonol biosynthetic process (GO:1900386)	3	3	.06	+	46.18	1.01E-05	1.45E-03
regulation of carbohydrate utilization (GO:0043610)	2	2	.04	+	46.18	4.68E-04	3.04E-02
nitrotoluene catabolic process (GO:0046263)	2	2	.04	+	46.18	4.68E-04	3.00E-02
trinitrotoluene catabolic process (GO:0046260)	2	2	.04	+	46.18	4.68E-04	2.97E-02
2,4,6-trinitrotoluene catabolic process (GO:0046256)	2	2	.04	+	46.18	4.68E-04	2.93E-02
toluene-containing compound catabolic process (GO:0072491)	2	2	.04	+	46.18	4.68E-04	2.90E-02
toluene-containing compound metabolic process (GO:0072490)	2	2	.04	+	46.18	4.68E-04	2.87E-02
plastid inner membrane organization (GO:0009667)	2	2	.04	+	46.18	4.68E-04	2.83E-02
2,4,6-trinitrotoluene metabolic process (GO:0018974)	2	2	.04	+	46.18	4.68E-04	2.80E-02
trinitrotoluene metabolic process (GO:0018973)	2	2	.04	+	46.18	4.68E-04	2.77E-02
chloroplast elongation (GO:0010151)	2	2	.04	+	46.18	4.68E-04	2.74E-02
nitrotoluene metabolic process (GO:0019326)	2	2	.04	+	46.18	4.68E-04	2.71E-02
regulation of flavonol biosynthetic process (GO:1900384)	5	4	.11	+	36.94	1.07E-06	1.77E-04
cellular response to UV-A (GO:0071492)	4	3	.09	+	34.63	3.98E-05	3.94E-03
response to UV-A (GO:0070141)	4	3	.09	+	34.63	3.98E-05	3.87E-03
cellular response to high light intensity (GO:0071486)	6	3	.13	+	23.09	1.92E-04	1.52E-02
